#Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
231,Amir Johnson\johnsam01,C,30,PHI,37,8,15.5,2,3.8,0.528,0.1,0.4,0.2,1.9,3.4,0.567,0.539,0.7,1.2,0.6,1.8,3,4.8,1.4,0.7,0.7,0.9,2.9,4.9
232,Brice Johnson\johnsbr02,PF,23,LAC,9,0,4.2,0.8,1.2,0.636,0,0.1,0,0.8,1.1,0.7,0.636,0.2,0.2,1,0.2,1.2,1.4,0.1,0.7,0.2,0.4,0.8,1.8
233,Dakari Johnson\johnsda04,C,22,OKC,20,5,6.3,1,1.8,0.543,0,0,0,1,1.8,0.543,0.543,0.4,0.7,0.571,0.6,0.7,1.3,0.4,0.3,0.3,0.2,1.1,2.3
234,James Johnson\johnsja01,PF,30,MIA,36,14,26.6,3.9,8.2,0.476,0.9,2.6,0.326,3.1,5.6,0.547,0.529,1.6,2.3,0.679,0.8,4.2,5,4,0.9,0.7,2.1,2.8,10.3
235,Joe Johnson\johnsjo02,SF,36,UTA,23,3,22,2.9,7,0.41,0.7,2.5,0.259,2.2,4.5,0.495,0.457,0.7,0.9,0.8,0.4,3,3.3,1.5,0.4,0.2,1.1,1.1,7.1
236,Stanley Johnson\johnsst04,SF,21,DET,32,22,27.5,2.4,7,0.348,1,3.4,0.291,1.4,3.6,0.404,0.42,1.4,1.8,0.776,0.5,3.3,3.7,1.4,1.3,0.2,0.8,2.4,7.3
237,Tyler Johnson\johnsty01,PG,25,MIA,40,12,29.4,4.3,10.1,0.428,1.7,4.7,0.355,2.7,5.5,0.491,0.51,1.8,2,0.877,0.5,3.1,3.6,2.2,0.8,0.6,1.2,2.2,12.1
238,Wesley Johnson\johnswe01,SF,30,LAC,39,23,23.9,2.5,6.1,0.409,1,3,0.325,1.5,3.1,0.492,0.489,0.9,1.2,0.783,0.5,3.2,3.7,1,1.1,1,1.1,2.3,6.9
239,Nikola Jokic\jokicni01,C,22,DEN,38,36,30.9,6,12.5,0.478,1.2,3.6,0.324,4.8,8.9,0.54,0.524,3.1,3.6,0.862,2.7,7.5,10.2,5,1.3,0.8,2.6,2.6,16.2
240,Damian Jones\jonesda03,C,22,GSW,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
